"Painting","Year","Y","Color","Size"
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,17,"#623726",0.38431372549
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Altarbekrönung mit Pfingstzyklus; Szene by Duccio",1308,33,"#3f311f",0.247058823529
"«Зьяўленьне Хрыстовае вучням» (Лк.; 24:36—49). Карціна Дучы ды Буанінсэньі by Duccio",1308,42,"#b3a177",0.701960784314
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Altarbekrönung mit Szenen zum Marientod; Szene by Duccio",1308,26,"#7d4f2a",0.490196078431
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Altarbekrönung mit Szenen zum Marientod; Szene by Duccio",1308,30,"#623e1a",0.38431372549
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Altarbekrönung mit Szenen zum Marientod; Szene by Duccio",1308,26,"#6b4324",0.419607843137
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Altarbekrönung mit Pfingstzyklus; Szene by Duccio",1308,27,"#1e1208",0.117647058824
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Altarbekrönung mit Szenen zum Marientod; Szene by Duccio",1308,35,"#bb9e74",0.733333333333
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Altarbekrönung mit Pfingstzyklus; Szene by Duccio",1308,35,"#d5d3d0",0.835294117647
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Gesamtansicht by Duccio",1308,26,"#5d4837",0.364705882353
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Haupttafel mit Maestà; Szene by Duccio",1308,32,"#a3723a",0.639215686275
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Haupttafel mit Maestà; Szene by Duccio",1308,29,"#8c5b2b",0.549019607843
"Maestà by Duccio",1308,15,"#2a2726",0.164705882353
"Graduale von St. Katharinenthal; Szene by Unknown.",1312,11,"#7a473b",0.478431372549
"Mosaiken der Kirche Kahrié-Djami in Istanbul; Szene by Unknown.",1315,27,"#baa899",0.729411764706
"Buch der Einsicht in die Konstruktion mechanischer Apparate des al-Jazarî; Szene by Unknown.",1315,30,"#a79078",0.654901960784
"Mosaiken der Kirche Kahrié-Djami in Istanbul; Szene by Unknown.",1315,232,"#282a37",0.21568627451
"Mosaiken der Kirche Kahrié-Djami in Istanbul; Szene by Unknown.",1315,24,"#a59f9b",0.647058823529
"Mosaiken der Kirche Kahrié-Djami in Istanbul; Szene by Unknown.",1315,31,"#634c33",0.388235294118
"Mosaiken der Kirche Kahrié-Djami in Istanbul; Szene by Unknown.",1315,32,"#a3988b",0.639215686275
"Madonna and Child by Ambrogio Lorenzetti",1319,16,"#a2583c",0.635294117647
